"URL";"Width";"Height";"Folio";"Title";"View";"Author";"Hands";"Date";"Shelfmark";"Institution";
"http://sga.mith.org/images/derivatives/ox/ox-ms_abinger_c56-0001.jpg";1270;1826;"c. 56, fol. i recto";"Frankenstein";"Draft Notebook A";"Mary Shelley";"Mary Shelley";"[August or September]-[?December] 1816";"MS. Abinger c. 56";"Bodleian Library";" University of Oxford"
"http://sga.mith.org/images/derivatives/ox/ox-ms_abinger_c56-0002.jpg";1270;1826;"c. 56, fol. i verso";"Frankenstein";"Draft Notebook A";"Mary Shelley";"Mary Shelley";"[August or September]-[?December] 1816";"MS. Abinger c. 56";"Bodleian Library";" University of Oxford"
"http://sga.mith.org/images/derivatives/ox/ox-ms_abinger_c56-0003.jpg";1341;1812;"c. 56, fol. ii recto";"Frankenstein";"Draft Notebook A";"Mary Shelley";"Mary Shelley";"[August or September]-[?December] 1816";"MS. Abinger c. 56";"Bodleian Library";" University of Oxford"
